species_scientific,age_years,dbh_cm,height_m,source_for_growth
Tectona grandis,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,6,25.18,23.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,7,27.58,25.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,8,29.65,27.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,9,31.43,29.72,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,10,32.96,31.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,11,34.28,32.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,12,35.41,34.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,13,36.39,35.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,14,37.23,36.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,15,37.95,37.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,16,38.58,38.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,17,39.11,39.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,18,39.58,39.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,19,39.97,40.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,20,40.31,40.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,21,40.61,41.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,22,40.86,41.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,23,41.08,42.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,24,41.27,42.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,25,41.43,42.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,26,41.57,43.01,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,27,41.69,43.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,28,41.79,43.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,29,41.88,43.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,30,41.96,43.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,1,4.4,2.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,2,8.2,5.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,3,11.46,7.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,4,14.27,9.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,5,16.69,11.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,6,18.77,12.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,7,20.56,14.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,8,22.1,15.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,9,23.42,16.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,10,24.57,17.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,11,25.55,18.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,12,26.4,19.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,13,27.12,19.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,14,27.75,20.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,15,28.29,20.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,16,28.75,21.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,17,29.15,21.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,18,29.5,22.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,19,29.79,22.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,20,30.05,22.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,21,30.27,22.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,22,30.46,23.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,23,30.62,23.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,24,30.76,23.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,25,30.88,23.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,26,30.98,23.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,27,31.07,24.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,28,31.15,24.13,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,29,31.21,24.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dalbergia sissoo,30,31.27,24.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,1,4.4,2.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,2,8.2,5.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,3,11.46,7.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,4,14.27,9.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,5,16.69,11.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,6,18.77,12.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,7,20.56,14.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,8,22.1,15.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,9,23.42,16.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,10,24.57,17.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,11,25.55,18.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,12,26.4,19.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,13,27.12,19.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,14,27.75,20.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,15,28.29,20.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,16,28.75,21.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,17,29.15,21.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,18,29.5,22.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,19,29.79,22.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,20,30.05,22.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,21,30.27,22.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,22,30.46,23.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,23,30.62,23.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,24,30.76,23.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,25,30.88,23.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,26,30.98,23.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,27,31.07,24.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,28,31.15,24.13,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,29,31.21,24.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Azadirachta indica,30,31.27,24.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,1,5.21,3.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,2,9.7,7.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,3,13.56,10.58,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,4,16.88,13.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,5,19.74,15.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,6,22.2,17.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,7,24.32,19.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,8,26.15,21.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,9,27.72,23.11,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,10,29.07,24.46,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,11,30.23,25.65,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,12,31.23,26.71,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,13,32.09,27.65,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,14,32.83,28.48,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,15,33.47,29.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,16,34.02,29.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,17,34.5,30.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,18,34.9,30.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,19,35.25,31.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,20,35.55,31.82,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,21,35.81,32.18,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,22,36.04,32.5,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,23,36.23,32.78,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,24,36.39,33.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,25,36.54,33.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,26,36.66,33.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,27,36.76,33.63,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,28,36.86,33.78,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,29,36.93,33.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Mangifera indica,30,37.0,34.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,1,4.4,2.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,2,8.2,5.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,3,11.46,7.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,4,14.27,9.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,5,16.69,11.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,6,18.77,12.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,7,20.56,14.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,8,22.1,15.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,9,23.42,16.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,10,24.57,17.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,11,25.55,18.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,12,26.4,19.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,13,27.12,19.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,14,27.75,20.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,15,28.29,20.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,16,28.75,21.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,17,29.15,21.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,18,29.5,22.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,19,29.79,22.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,20,30.05,22.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,21,30.27,22.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,22,30.46,23.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,23,30.62,23.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,24,30.76,23.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,25,30.88,23.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,26,30.98,23.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,27,31.07,24.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,28,31.15,24.13,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,29,31.21,24.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus benghalensis,30,31.27,24.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,1,4.83,3.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,2,8.98,6.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,3,12.55,9.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,4,15.63,11.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,5,18.28,13.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,6,20.56,15.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,7,22.52,17.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,8,24.21,18.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,9,25.66,19.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,10,26.91,20.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,11,27.99,21.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,12,28.91,22.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,13,29.71,23.7,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,14,30.4,24.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,15,30.99,25.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,16,31.5,25.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,17,31.94,26.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,18,32.31,26.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,19,32.64,26.93,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,20,32.92,27.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,21,33.16,27.59,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,22,33.36,27.86,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,23,33.54,28.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,24,33.69,28.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,25,33.83,28.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,26,33.94,28.68,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,27,34.04,28.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,28,34.12,28.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,29,34.19,29.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Ficus religiosa,30,34.26,29.18,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,1,4.83,3.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,2,8.98,6.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,3,12.55,9.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,4,15.63,11.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,5,18.28,13.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,6,20.56,15.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,7,22.52,17.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,8,24.21,18.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,9,25.66,19.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,10,26.91,20.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,11,27.99,21.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,12,28.91,22.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,13,29.71,23.7,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,14,30.4,24.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,15,30.99,25.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,16,31.5,25.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,17,31.94,26.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,18,32.31,26.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,19,32.64,26.93,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,20,32.92,27.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,21,33.16,27.59,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,22,33.36,27.86,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,23,33.54,28.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,24,33.69,28.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,25,33.83,28.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,26,33.94,28.68,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,27,34.04,28.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,28,34.12,28.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,29,34.19,29.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Syzygium cumini,30,34.26,29.18,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,1,4.83,3.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,2,8.98,6.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,3,12.55,9.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,4,15.63,11.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,5,18.28,13.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,6,20.56,15.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,7,22.52,17.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,8,24.21,18.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,9,25.66,19.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,10,26.91,20.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,11,27.99,21.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Terminalia arjuna,12,28.91,22.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
